RegionID,SizeRank,City,RegionType,State,Date,New_Renter_Affordability
394931,87,Ogden,msa,UT,2015-01-31,0.1514129585326187
394816,88,Madison,msa,WI,2015-01-31,0.197994222741739
395235,89,Winston,msa,NC,2015-01-31,0.2280242460402333
394528,90,Deltona,msa,FL,2015-01-31,0.2692683878492146
395143,91,Syracuse,msa,NY,2015-01-31,0.2377657469238869
395006,92,Provo,msa,UT,2015-01-31,0.1962802296158979
395160,93,Toledo,msa,OH,2015-01-31,0.1771696573617349
395224,94,Wichita,msa,KS,2015-01-31,0.1701439553257301
394549,95,Durham,msa,NC,2015-01-31,0.2225984616607038
394352,96,Augusta,msa,GA,2015-01-31,0.2012517102588299
394957,97,Palm Bay,msa,FL,2015-01-31,0.2325559436505002
394711,98,Jackson,msa,MS,2015-01-31,0.2278085342711361
394666,99,Harrisburg,msa,PA,2015-01-31,0.1673702231567869
395113,100,Spokane,msa,WA,2015-01-31,0.1768174447475726
395075,101,Scranton,msa,PA,2015-01-31,0.1811385765679394
394460,102,Chattanooga,msa,TN,2015-01-31,0.2125706888582549
394871,103,Modesto,msa,CA,2015-01-31,0.2325499099767677
394768,104,Lancaster,msa,PA,2015-01-31,0.159695704374795
394997,105,Portland,msa,ME,2015-01-31,0.2351660303280814
395245,106,Youngstown,msa,OH,2015-01-31,0.1770811449700263
394770,107,Lansing,msa,MI,2015-01-31,0.1597734573090501
394590,108,Fayetteville,msa,AR,2015-01-31,0.198501092554029
394589,109,Fayetteville,msa,NC,2015-01-31,0.226019458562204
394792,110,Lexington,msa,KY,2015-01-31,0.1899264245662287
394971,111,Pensacola,msa,FL,2015-01-31,0.2215130271517486
395068,112,Santa Rosa,msa,CA,2015-01-31,0.2879793943184013
395019,113,Reno,msa,NV,2015-01-31,0.2089038592659741
394698,114,Huntsville,msa,AL,2015-01-31,0.1666875095107523
394995,115,Port St. Lucie,msa,FL,2015-01-31,0.2835560962212562
394761,116,Lafayette,msa,LA,2015-01-31,0.260902952487597
394898,117,Myrtle Beach,msa,SC,2015-01-31,0.249769360808106
395116,118,Springfield,msa,MO,2015-01-31,0.1954011312873603
395195,119,Visalia,msa,CA,2015-01-31,0.2721468010258556
394746,120,Killeen,msa,TX,2015-01-31,0.196219468325175
394338,121,Asheville,msa,NC,2015-01-31,0.2439320587517503
395244,122,York,msa,PA,2015-01-31,0.161636209236367
395183,123,Vallejo,msa,CA,2015-01-31,0.2430923053193618
753917,124,Santa Maria,msa,CA,2015-01-31,0.3444939380923359
395050,125,Salinas,msa,CA,2015-01-31,0.2912569609967833
395048,126,Salem,msa,OR,2015-01-31,0.1928897363934137
394870,127,Mobile,msa,AL,2015-01-31,0.1997897050416869
395015,128,Reading,msa,PA,2015-01-31,0.1508095847382117
394502,129,Corpus Christi,msa,TX,2015-01-31,0.2443515115530199
394421,130,Brownsville,msa,TX,2015-01-31,0.23396450159591442
394820,131,Manchester,msa,NH,2015-01-31,0.176444769924515
394612,132,Fort Wayne,msa,IN,2015-01-31,0.1580239946285409
394658,133,Gulfport,msa,MS,2015-01-31,0.2278085342711361
395051,134,Salisbury,msa,DE,2015-01-31,0.2850809216856943
394596,135,Flint,msa,MI,2015-01-31,0.1649951711648314
394972,136,Peoria,msa,IL,2015-01-31,0.19641735525557413
394439,137,Canton,msa,OH,2015-01-31,0.157180311988388
395070,138,Savannah,msa,GA,2015-01-31,0.223304257003575
394327,139,Anchorage,msa,AK,2015-01-31,0.2000510082780547
394372,140,Beaumont,msa,TX,2015-01-31,0.1901151810582903
395096,141,Shreveport,msa,LA,2015-01-31,0.2556514891008363
395164,142,Trenton,msa,NJ,2015-01-31,0.2518533167789809
394875,143,Montgomery,msa,AL,2015-01-31,0.2232778196793263
394520,144,Davenport,msa,IL,2015-01-31,0.1611848024559957
395146,145,Tallahassee,msa,FL,2015-01-31,0.2336608348040243
394576,146,Eugene,msa,OR,2015-01-31,0.2571540208607792
394901,147,Naples,msa,FL,2015-01-31,0.2825099996508725
394332,148,Ann Arbor,msa,MI,2015-01-31,0.2753512719793411
394927,149,Ocala,msa,FL,2015-01-31,0.2346947821926998
394679,150,Hickory,msa,NC,2015-01-31,0.21968160894847405
394697,151,Huntington,msa,OH,2015-01-31,0.1770811449700263
394602,152,Fort Collins,msa,CO,2015-01-31,0.2270180703386134
395033,153,Rockford,msa,IL,2015-01-31,0.1716690850888063
394796,154,Lincoln,msa,NE,2015-01-31,0.1693118978461578
394622,155,Gainesville,msa,FL,2015-01-31,0.2465601106601851
394405,156,Boulder,msa,CO,2015-01-31,0.2393490822503677
394646,157,Green Bay,msa,WI,2015-01-31,0.2029718578804955
394488,158,Columbus,msa,GA,2015-01-31,0.2177595468471653
395107,159,South Bend,msa,IN,2015-01-31,0.1700748423957619
395109,160,Spartanburg,msa,SC,2015-01-31,0.2307736923910862
394645,161,Greeley,msa,CO,2015-01-31,0.21704405462022064
394808,162,Lubbock,msa,TX,2015-01-31,0.2528169912925276
394471,163,Clarksville,msa,TN,2015-01-31,0.2084054807098431
395028,164,Roanoke,msa,VA,2015-01-31,0.1942980268259301
394579,165,Evansville,msa,IN,2015-01-31,0.1464801015761285
394747,167,Kingsport,msa,TN,2015-01-31,0.2236728712561297
394741,168,Kennewick,msa,WA,2015-01-31,0.1983903948866976
395179,169,Utica,msa,NY,2015-01-31,0.2377657469238869
394660,170,Hagerstown,msa,MD,2015-01-31,0.1986757696797773
394543,171,Duluth,msa,MN,2015-01-31,0.19368524985697094
394937,172,Olympia,msa,WA,2015-01-31,0.210187344861847
394803,173,Longview,msa,TX,2015-01-31,0.23396450159591442
395229,174,Wilmington,msa,NC,2015-01-31,0.2143905614818788
395061,175,San Luis Obispo,msa,CA,2015-01-31,0.3254697215236827
753875,176,Crestview,msa,FL,2015-01-31,0.2279890963649885
394851,177,Merced,msa,CA,2015-01-31,0.2430513042000142
395197,178,Waco,msa,TX,2015-01-31,0.2541068234094212
394447,179,Cedar Rapids,msa,IA,2015-01-31,0.1797768943383264
394348,180,Atlantic City,msa,NJ,2015-01-31,0.2193835233949799
394412,181,Bremerton,msa,WA,2015-01-31,0.1906478773271903
395103,182,Sioux Falls,msa,SD,2015-01-31,
395065,183,Santa Cruz,msa,CA,2015-01-31,0.318895214882345
394572,184,Erie,msa,PA,2015-01-31,0.18339428646571826
394924,185,Norwich,msa,CT,2015-01-31,0.1690146606451369
394323,186,Amarillo,msa,TX,2015-01-31,0.23396450159591442
394772,187,Laredo,msa,TX,2015-01-31,0.23396450159591442
395171,188,Tuscaloosa,msa,AL,2015-01-31,0.2063922428402079
394483,189,College Station,msa,TX,2015-01-31,0.3225554861411535
394732,190,Kalamazoo,msa,MI,2015-01-31,0.1901375057157103
394811,191,Lynchburg,msa,VA,2015-01-31,0.1850047066682147
394455,192,Charleston,msa,WV,2015-01-31,
395240,193,Yakima,msa,WA,2015-01-31,0.2023786340546856
394585,194,Fargo,msa,ND,2015-01-31,
394387,195,Binghamton,msa,NY,2015-01-31,0.2377657469238869
